"name","source_side","has_skill_md","skill_md_sha256","source_path"
"widgetdesign","kimi","True","CFF110B4010617F8CA64B50C0825E9B96ABD736648FE5B9C9732FF6BC590FEA0","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\widgetdesign"
"xlsx","kimi","True","21D413822164D00ECC0CC4C945A5F3186B7E2F70E5F9E608B6E4FF1C3D6AAC77","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\xlsx"
"code-review","codex","True","6A65CC61114F96DB07EC41E3920E67C9C5BF70DD6E0901EB9460EBCB2BDC209F","C:\Users\sundh\.codex\skills\code-review"
"grill-me","codex","True","97BF0F1EAE1E15FB568EBAE644EB4C62241095FE7E5625C0D584AC760F6C2400","C:\Users\sundh\.codex\skills\grill-me"
"math-model-selector","codex","True","AB1533308C9EBB723C6DB987357D4EB4EC29F7AC0DCD2F5A170A51BEDACD1564","C:\Users\sundh\.codex\skills\math-model-selector"
"research","codex","True","AF378829F015775A3BCD65FF466826722E99359017AE6BAE227CA4C9BD14049C","C:\Users\sundh\.codex\skills\research"
"shortdrama-video-generation","codex","True","ACFCFAFB76DC716B762185E1D232D0716FEF77FECBCE4488636F71495BB7E545","C:\Users\sundh\.codex\skills\shortdrama-video-generation"
"speech","codex","True","D6120EFC03EA0E80204F687801CFAEC8EFC4519A3430B68E13E4EBD8E1C69B52","C:\Users\sundh\.codex\skills\speech"
"to-spec","codex","True","8FE699E2B6E3AB487609ED38F6236DD77820595549BEEE6D3C6E632FD9307E5F","C:\Users\sundh\.codex\skills\to-spec"
"to-tickets","codex","True","046F4A54661F812338155DEF8ABF1AB9EF40C36EFFD8AD2A20F58EE9FE6FE45A","C:\Users\sundh\.codex\skills\to-tickets"
"transcribe","codex","True","F530021DA9F377362EE4214E0BC689CBB5404640D2EB88EE272D51D61F530A09","C:\Users\sundh\.codex\skills\transcribe"
